Directory#,Filename#,Filetype#,Total#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,plot_glucose_insulin.py,py,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,run_openAPS.py,py,3,,14,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,1,
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_5_all_files,updated_collected.py,py,3,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_1_collect_data.py,py,3,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_2_collect_data.py,py,3,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_1_initialize.py,py,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,9,
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,test.py,py,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,root_script.py,py,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,f1Score.py,py,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/monitor,graph_plot.py,py,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/settings/monitor,graph_plot.py,py,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,test.py,py,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/settings,settings_reader.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
