Directory#,Filename#,Filetype#,while,for,gain,control,pub,sub,plan,output,input,null,Total#
/home/uva-dsa/Research/Raven/raven_2,run_stat.py,py,0,1,0,0,0,1,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/raven_visualization/src,joint_publisher.cpp,cpp,1,0,0,0,1,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/catkin_generated,generate_cached_setup.py,py,0,1,0,0,0,0,0,1,0,0,2
/home/uva-dsa/Research/Raven/raven_2/src/raven,mapping.cpp,cpp,0,1,0,0,1,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/src/raven,fwd_kinematics.cpp,cpp,0,1,0,0,1,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/src/raven,tools.cpp,cpp,0,1,0,0,1,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/src/raven,hmatrix.c,c,0,1,0,0,0,0,1,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/src/raven,dof.cpp,cpp,0,1,0,0,1,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/src/raven,motor.cpp,cpp,0,1,0,0,1,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/src/raven,inv_cable_coupling.cpp,cpp,0,1,0,0,1,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/src/raven,globals.cpp,cpp,0,1,0,0,1,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/src/raven,reconfigure.cpp,cpp,0,1,0,0,1,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/src/raven,log.cpp,cpp,0,1,0,0,1,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/src/raven,two_arm_dyn.cpp,cpp,1,0,0,1,0,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/Li_DYN,main.cpp,cpp,1,1,0,0,0,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/Li_DYN,main_back.cpp,cpp,1,1,0,0,0,0,0,0,0,0,2
/home/uva-dsa/Research/Raven/raven_2/Li_DYN,two_arm_dyn.cpp,cpp,0,1,0,0,0,0,0,0,1,0,2
/home/uva-dsa/Research/Raven/raven_2/build/catkin_generated,generate_cached_setup.py,py,0,1,0,0,0,0,0,1,0,0,2
/home/uva-dsa/Research/Raven/raven_2,mfi.py,py,0,1,0,0,0,0,0,0,0,0,1
/home/uva-dsa/Research/Raven/raven_2,generate_mfi2.py,py,0,1,0,0,0,0,0,0,0,0,1
/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/cmakefiles/2.8.12.2/CompilerIdCXX,CMakeCXXCompilerId.cpp,cpp,0,1,0,0,0,0,0,0,0,0,1
/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/cmakefiles/2.8.12.2/CompilerIdC,CMakeCCompilerId.c,c,0,1,0,0,0,0,0,0,0,0,1
/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/cmakefiles/CompilerIdCXX,CMakeCXXCompilerId.cpp,cpp,0,1,0,0,0,0,0,0,0,0,1
/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/cmakefiles/CompilerIdC,CMakeCCompilerId.c,c,0,1,0,0,0,0,0,0,0,0,1
/home/uva-dsa/Research/Raven/raven_2/src/raven_2/msg,_raven_state.py,py,0,0,0,0,0,1,0,0,0,0,1
/home/uva-dsa/Research/Raven/raven_2/src/raven_2/msg,_raven_automove.py,py,0,1,0,0,0,0,0,0,0,0,1
/home/uva-dsa/Research/Raven/raven_2/src/raven_2/cfg,MyStuffConfig.py,py,0,1,0,0,0,0,0,0,0,0,1
/home/uva-dsa/Research/Raven/raven_2/build/CMakeFiles/3.5.1/CompilerIdCXX,CMakeCXXCompilerId.cpp,cpp,0,1,0,0,0,0,0,0,0,0,1
/home/uva-dsa/Research/Raven/raven_2/build/CMakeFiles/3.5.1/CompilerIdC,CMakeCCompilerId.c,c,0,1,0,0,0,0,0,0,0,0,1
/home/uva-dsa/Research/Raven/raven_2,rotation_math.py,py,0,0,0,0,0,0,0,0,0,0,0
/home/uva-dsa/Research/Raven/raven_2/src/raven_2,__init__.py,py,0,0,0,0,0,0,0,0,0,0,0
/home/uva-dsa/Research/Raven/raven_2/src/raven_2/msg,__init__.py,py,0,0,0,0,0,0,0,0,0,0,0
/home/uva-dsa/Research/Raven/raven_2/src/raven_2/cfg,__init__.py,py,0,0,0,0,0,0,0,0,0,0,0
/home/uva-dsa/Research/Raven/raven_2/build/CMakeFiles,feature_tests.c,c,0,0,0,0,0,0,0,0,0,0,0
