Total_weight#,Directory#,Filename#,Filetype#,Total_count#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_scheduler_script.py,py,10,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,7.0,
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_2_scheduler_script.py,py,11,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,7.0,
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_5_all_files,initialize.py,py,19,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,15.0,
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/fault_injection_files,run_openAPS.py,py,37,,18.0,,,,,,,,,,,,,,,,2.0,,,,,,17.0,,,,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,updated_collected.py,py,9,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,2.0
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,initialize.py,py,20,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,16.0,
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_5_all_files,updated_collected.py,py,8,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,4.0
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,run_openAPS_monitor.py,py,31,,14.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,1.0,
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,plot_glucose_insulin.py,py,21,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,7.0
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_1_initialize.py,py,11,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,9.0,
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_2_collect_data.py,py,8,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,4.0
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,run_openAPS.py,py,31,,14.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,1.0,
3,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_1_collect_data.py,py,8,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,4.0
2,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,root_script.py,py,2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,test.py,py,3,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,f1Score.py,py,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/monitor,graph_plot.py,py,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
1,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/settings/monitor,graph_plot.py,py,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
1,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,test.py,py,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/settings,settings_reader.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
